time,time_raw,flux
54953.5392583,54953.5392583,156.97570880565377
54953.559693,54953.559693,-68.36523657264024
54953.5801275,54953.5801275,333.7183805466019
54953.6005623,54953.6005623,556.5434068071887
54953.6209969,54953.6209969,196.52159530466884
54953.6414315,54953.6414315,366.8361111820143
54953.6618661,54953.6618661,-75.8421451013987
54953.6823009,54953.6823009,18.445157540094954
54953.7027354,54953.7027354,-22.941180121280553
54953.7231701,54953.7231701,110.93996863328607
54953.7436048,54953.7436048,592.2535908942898
54953.7640394,54953.7640394,455.8617672288626
54953.784474,54953.784474,881.7683454110629
54953.8049087,54953.8049087,468.45753559518164
54953.8253433,54953.8253433,-102.01756714570428
54953.845778,54953.845778,-151.46283551984183
54953.8662126,54953.8662126,-673.3793321822864
54953.8866474,54953.8866474,-491.14139251663374
54953.9070819,54953.9070819,-271.36623316984264
54953.9275166,54953.9275166,2.3838134540458213
54953.9479513,54953.9479513,0.6769997334647542
54953.9683859,54953.9683859,245.46425173318767
54953.9888205,54953.9888205,177.74585411597633
54954.0092551,54954.0092551,136.5404081955205
54954.0296898,54954.0296898,199.71235700596816
54954.0501245,54954.0501245,524.3783890812284
54954.0705591,54954.0705591,638.1371444404674
54954.0909938,54954.0909938,911.0565664024155
54954.1114284,54954.1114284,753.9783520481261
54954.1318631,54954.1318631,411.7929794270307
54954.1522976,54954.1522976,199.0059845303453
54954.1727324,54954.1727324,388.27112349734386
54954.193167,54954.193167,215.9716451149677
54954.2136016,54954.2136016,361.17221973660776
54954.2340363,54954.2340363,558.9470072467599
54954.254471,54954.254471,935.6687350211248
54954.2749055,54954.2749055,589.1105504079702
54954.2953402,54954.2953402,573.9489991517214
54954.3157749,54954.3157749,258.5866229144166
54954.3362096,54954.3362096,577.7378813370508
54954.3566441,54954.3566441,802.7921254277451
54954.3770789,54954.3770789,1166.4226730262155
54954.3975135,54954.3975135,1551.072856899785
54954.4179481,54954.4179481,1303.22467831431
54954.4383827,54954.4383827,1242.9024347458653
54954.4588175,54954.4588175,911.7559830932014
54954.479252,54954.479252,476.1474836046634
54954.4996867,54954.4996867,-208.7545505690432
54954.5201213,54954.5201213,-243.86134642578497
54954.5405561,54954.5405561,-13.298912054114993
54954.5609907,54954.5609907,-24.10562123949981
54954.5814253,54954.5814253,145.77219649563114
54954.60186,54954.60186,364.7594048409973
54954.6222947,54954.6222947,241.13053874753632
54954.6427292,54954.6427292,39.19833943669829
54954.6631639,54954.6631639,136.69645116290934
54954.6835986,54954.6835986,34.28526495567337
54954.7040332,54954.7040332,-273.82546248686884
54954.7244678,54954.7244678,146.9075847307651
54954.7449026,54954.7449026,891.041792138549
54954.7653371,54954.7653371,1218.594407905408
54954.7857718,54954.7857718,1261.1658004745238
54954.8062064,54954.8062064,1273.6618751785263
54954.8266411,54954.8266411,1139.7990145774588
54954.8470757,54954.8470757,1054.9368741280866
54954.8675104,54954.8675104,819.7923964747883
54954.887945,54954.887945,525.1105777153065
54954.9083797,54954.9083797,147.00096300751625
54954.9288143,54954.9288143,-229.39512047378457
54954.9492489,54954.9492489,-200.63798134754552
54954.9696836,54954.9696836,-508.1829716821386
54954.9901183,54954.9901183,-571.0609348991918
54955.0105528,54955.0105528,-260.28759588266945
54955.0309876,54955.0309876,210.88730384364047
54955.0514222,54955.0514222,205.46080102477563
54955.0718569,54955.0718569,537.8267301840533
54955.0922914,54955.0922914,22.355176603974343
54955.1127262,54955.1127262,241.62303059947124
54955.1331608,54955.1331608,409.12289073374586
54955.1535953,54955.1535953,561.7097080910971
54955.1740301,54955.1740301,1133.0105910051043
54955.1944647,54955.1944647,897.263209885923
54955.2148993,54955.2148993,935.809617354619
54955.2353339,54955.2353339,400.3224926926844
54955.2557687,54955.2557687,330.5936893136016
54955.2762032,54955.2762032,251.59950184836327
54955.2966379,54955.2966379,740.7294786374373
54955.3170726,54955.3170726,989.2476993285279
54955.3375072,54955.3375072,969.447374192321
54955.3579418,54955.3579418,764.5355333183185
54955.3783765,54955.3783765,772.1729474002485
54955.3988112,54955.3988112,312.2231775668129
